,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId
233,1628159,Mousa Dagher,M. Dagher,Mousa,Dagher,28  ,,22200542
234,2714,David Guthrie,D. Guthrie,David,Guthrie,16  ,,22200546
235,204059,Tyler Ford,T. Ford,Tyler,Ford,39  ,,22200546
236,1627519,John Conley,J. Conley,John,Conley,79  ,,22200546
237,1146,Tony Brothers,T. Brothers,Tony,Brothers,25  ,,22200530
238,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200530
239,202049,Ben Taylor,B. Taylor,Ben,Taylor,46  ,,22200530
240,201639,Josh Tiven,J. Tiven,Josh,Tiven,58  ,,22200531
241,203593,Justin Van Duyne,J. Van Duyne,Justin,Van Duyne,64  ,,22200531
242,1628480,Robert Hussey,R. Hussey,Robert,Hussey,85  ,,22200531
243,2882,Sean Wright,S. Wright,Sean,Wright,4   ,,22200535
244,202027,Tre Maddox,T. Maddox,Tre,Maddox,23  ,,22200535
245,1626301,Jason Goldenberg,J. Goldenberg,Jason,Goldenberg,35  ,,22200535
246,201246,Kevin Cutler,K. Cutler,Kevin,Cutler,34  ,,22200536
247,204059,Tyler Ford,T. Ford,Tyler,Ford,39  ,,22200536
248,1627964,Jonathan Sterling,J. Sterling,Jonathan,Sterling,17  ,,22200536
249,1662,Bill Kennedy,B. Kennedy,Bill,Kennedy,55  ,,22200537
250,1626300,Ray Acosta,R. Acosta,Ray,Acosta,54  ,,22200537
251,1628172,Evan Scott,E. Scott,Evan,Scott,78  ,,22200537
252,1148,James Capers,J. Capers,James,Capers,19  ,,22200524
253,1626302,Aaron Smith,A. Smith,Aaron,Smith,51  ,,22200524
254,1627534,Andy Nagy,A. Nagy,Andy,Nagy,83  ,,22200524
255,1162,Scott Foster,S. Foster,Scott,Foster,48  ,,22200525
256,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200525
257,202901,Matt Myers,M. Myers,Matt,Myers,43  ,,22200525
258,202026,Karl Lane,K. Lane,Karl,Lane,77  ,,22200517
259,202058,James Williams,J. Williams,James,Williams,60  ,,22200517
260,1628171,Brandon Schwab,B. Schwab,Brandon,Schwab,86  ,,22200517
261,1662,Bill Kennedy,B. Kennedy,Bill,Kennedy,55  ,,22200519
262,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200519
263,202035,Brett Nansel,B. Nansel,Brett,Nansel,44  ,,22200519
264,201246,Kevin Cutler,K. Cutler,Kevin,Cutler,34  ,,22200520
265,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27  ,,22200520
266,1627961,Brandon Adair,B. Adair,Brandon,Adair,67  ,,22200520
267,202041,Kevin Scott,K. Scott,Kevin,Scott,24  ,,22200521
